epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,161.034,1.12102,0.67056,0.81144,0.90118,0.99426,0.98975,0.67942,1.167,0.81363,0.82898,0.000990365,0.000990365,0.000990365
43,164.756,1.15671,0.68643,0.8143,0.89645,0.98939,0.98931,0.72231,1.1333,0.80209,0.82627,0.000973861,0.000973861,0.000973861
44,168.63,1.19859,0.68302,0.81366,0.90261,1,0.98979,0.73363,1.08312,0.78519,0.81848,0.000957358,0.000957358,0.000957358
45,172.537,1.20964,0.66413,0.79395,0.90261,1,0.98979,0.73363,1.08312,0.78519,0.81848,0.000940855,0.000940855,0.000940855
46,176.314,1.06648,0.73628,0.79883,0.89869,0.99857,0.99007,0.68255,1.20457,0.80077,0.82433,0.000924352,0.000924352,0.000924352
47,180.244,1.12287,0.65755,0.79444,0.89814,0.99777,0.99005,0.67281,1.2648,0.79647,0.82821,0.000907848,0.000907848,0.000907848
48,184.227,1.14353,0.66943,0.81658,0.89973,1,0.99007,0.69072,1.1304,0.7487,0.82066,0.000891345,0.000891345,0.000891345
49,187.99,1.12437,0.65419,0.77543,0.89973,1,0.99007,0.69072,1.1304,0.7487,0.82066,0.000874842,0.000874842,0.000874842
50,191.838,1.09602,0.65747,0.79467,0.90646,1,0.99055,0.70974,1.11445,0.68441,0.81985,0.000858338,0.000858338,0.000858338
51,195.581,1.16314,0.67148,0.79876,0.9141,0.99445,0.99094,0.72349,1.08609,0.65468,0.81958,0.000841835,0.000841835,0.000841835
52,199.552,1.14797,0.63252,0.79671,0.91903,0.99135,0.99065,0.68986,1.12029,0.6493,0.82548,0.000825332,0.000825332,0.000825332
53,203.468,1.19953,0.64887,0.80167,0.91903,0.99135,0.99065,0.68986,1.12029,0.6493,0.82548,0.000808828,0.000808828,0.000808828
54,207.544,1.09643,0.62213,0.79566,0.92603,0.98868,0.98997,0.68966,1.12687,0.64688,0.82634,0.000792325,0.000792325,0.000792325
55,211.528,1.11589,0.62558,0.79843,0.95291,0.96569,0.98997,0.74183,1.06061,0.62245,0.82254,0.000775822,0.000775822,0.000775822
56,215.543,1.03897,0.64422,0.78913,0.95588,0.96377,0.98983,0.72228,1.09049,0.61944,0.82189,0.000759318,0.000759318,0.000759318
57,219.465,1.12586,0.61956,0.7716,0.95588,0.96377,0.98983,0.72228,1.09049,0.61944,0.82189,0.000742815,0.000742815,0.000742815
58,223.28,1.36467,0.68113,0.77275,0.94976,0.96429,0.99005,0.72174,1.13537,0.62691,0.82381,0.000726312,0.000726312,0.000726312
59,227.174,1.11729,0.62876,0.80672,0.9393,0.96569,0.99022,0.71514,1.102,0.62783,0.82403,0.000709809,0.000709809,0.000709809
60,230.936,1.13428,0.65329,0.79246,0.94314,0.96569,0.98993,0.71171,1.11048,0.62723,0.82505,0.000693305,0.000693305,0.000693305
61,234.937,1.12172,0.66302,0.78601,0.94314,0.96569,0.98993,0.71171,1.11048,0.62723,0.82505,0.000676802,0.000676802,0.000676802
62,238.981,1.26674,0.64958,0.79393,0.93118,0.99473,0.9903,0.70103,1.1237,0.61669,0.82649,0.000660299,0.000660299,0.000660299
63,243.143,1.11503,0.6132,0.79132,0.9368,1,0.99038,0.70053,1.08839,0.60405,0.82393,0.000643795,0.000643795,0.000643795
64,247.206,1.09524,0.57653,0.81078,0.94243,0.99975,0.99035,0.70107,1.07976,0.6161,0.82086,0.000627292,0.000627292,0.000627292
65,251.181,1.05342,0.62139,0.79295,0.94243,0.99975,0.99035,0.70107,1.07976,0.6161,0.82086,0.000610789,0.000610789,0.000610789
66,255.27,1.04365,0.57129,0.79501,0.94243,1,0.99045,0.70692,1.09233,0.62644,0.82056,0.000594286,0.000594286,0.000594286
67,259.366,1.09156,0.58775,0.79507,0.94396,1,0.99062,0.70627,1.07407,0.61523,0.82102,0.000577782,0.000577782,0.000577782
68,263.266,1.0051,0.60689,0.80853,0.94519,0.99625,0.99099,0.69598,1.0476,0.5962,0.82075,0.000561279,0.000561279,0.000561279
69,267.181,1.00457,0.61683,0.80776,0.94519,0.99625,0.99099,0.69598,1.0476,0.5962,0.82075,0.000544776,0.000544776,0.000544776
70,271.257,1.01072,0.5792,0.78184,0.94048,0.9951,0.99089,0.6946,1.04262,0.58186,0.82126,0.000528272,0.000528272,0.000528272
71,275.259,1.10621,0.60035,0.77896,0.93613,0.9921,0.99096,0.71191,1.05834,0.58986,0.82156,0.000511769,0.000511769,0.000511769
72,279.17,1.01945,0.596,0.81205,0.94026,0.9882,0.99069,0.71153,1.07156,0.6035,0.82207,0.000495266,0.000495266,0.000495266
73,283.043,1.01454,0.59637,0.79401,0.94026,0.9882,0.99069,0.71153,1.07156,0.6035,0.82207,0.000478762,0.000478762,0.000478762
74,287.205,1.04072,0.56411,0.80567,0.93181,0.98931,0.99072,0.71414,1.05365,0.59816,0.8209,0.000462259,0.000462259,0.000462259
75,291.352,0.99344,0.56347,0.79406,0.93467,0.99214,0.99093,0.73523,1.03268,0.58712,0.81831,0.000445756,0.000445756,0.000445756
76,295.535,1.02594,0.57886,0.79204,0.93604,0.9902,0.99076,0.7369,1.04138,0.58803,0.81639,0.000429253,0.000429253,0.000429253
77,299.349,0.96921,0.54463,0.79983,0.93604,0.9902,0.99076,0.7369,1.04138,0.58803,0.81639,0.000412749,0.000412749,0.000412749
78,303.496,1.01096,0.58032,0.81021,0.94502,0.9902,0.99075,0.73374,1.07058,0.58356,0.81658,0.000396246,0.000396246,0.000396246
79,307.499,1.03393,0.59626,0.78862,0.94634,0.99045,0.99057,0.73528,1.05234,0.58529,0.81607,0.000379743,0.000379743,0.000379743
80,311.644,0.98033,0.57812,0.7931,0.94671,0.99029,0.99035,0.7363,1.04072,0.58183,0.81681,0.000363239,0.000363239,0.000363239
81,315.707,0.89857,0.55559,0.78906,0.94671,0.99029,0.99035,0.7363,1.04072,0.58183,0.81681,0.000346736,0.000346736,0.000346736
